bus	device	latitude	longitude	updated
2	arduino	22.360916		2018-05-20T15:36:10.707Z
2	arduino	22.360914		2018-05-20T15:36:15.607Z
2	arduino	22.360914		2018-05-20T15:36:20.631Z
2	arduino	22.360909		2018-05-20T15:36:25.588Z
2	arduino	22.360905		2018-05-20T15:36:31.391Z
2	arduino	22.360897		2018-05-20T15:36:35.649Z
2	arduino	22.360889		2018-05-20T15:36:40.911Z
2	arduino	22.360886		2018-05-20T15:36:46.249Z
2	arduino	22.360876		2018-05-20T15:36:50.588Z
2	arduino	22.360872		2018-05-20T15:36:55.750Z
2	arduino	22.360876		2018-05-20T15:37:00.669Z
2	arduino	22.360886		2018-05-20T15:37:06.711Z
2	arduino	22.360897		2018-05-20T15:37:10.811Z
2	arduino	22.360909		2018-05-20T15:37:15.989Z
2	arduino	22.360914		2018-05-20T15:37:20.634Z
2	arduino	22.360922		2018-05-20T15:37:25.634Z
2	arduino	22.360929		2018-05-20T15:37:30.654Z
2	arduino	22.360933		2018-05-20T15:37:35.634Z
2	arduino	22.360937		2018-05-20T15:37:42.753Z
2	arduino	22.360939		2018-05-20T15:37:46.633Z
2	arduino	22.360943		2018-05-20T15:37:51.133Z
2	arduino	22.360947		2018-05-20T15:37:55.813Z
2	arduino	22.360945		2018-05-20T15:38:00.611Z
2	arduino	22.360941		2018-05-20T15:38:05.612Z
2	arduino	22.360939		2018-05-20T15:38:10.611Z
2	arduino	22.360941		2018-05-20T15:38:15.872Z
2	arduino	22.360943		2018-05-20T15:38:20.835Z
2	arduino	22.360939		2018-05-20T15:38:26.114Z
2	arduino	22.360935		2018-05-20T15:38:30.792Z
2	arduino	22.360933		2018-05-20T15:38:35.616Z
2	arduino	22.360935		2018-05-20T15:38:40.594Z
2	arduino	22.360943		2018-05-20T15:38:45.573Z
2	arduino	22.360949		2018-05-20T15:38:50.794Z
2	arduino	22.360952		2018-05-20T15:38:55.635Z
2	arduino	22.360956		2018-05-20T15:39:01.294Z
2	arduino	22.360962		2018-05-20T15:39:05.733Z
2	arduino	22.360968		2018-05-20T15:39:10.894Z
2	arduino	22.360971		2018-05-20T15:39:15.734Z
2	arduino	22.360973		2018-05-20T15:39:21.136Z
2	arduino	22.360977		2018-05-20T15:39:25.634Z
2	arduino	22.360983		2018-05-20T15:39:30.617Z
