routeNumber,isGo2Work,last_stop_name,next_stop_name,seqNumber,next_stop_seq,last_stop_latitude,last_stop_longitude,next_stop_latitude,next_stop_longitude,plannedArrivalTime,segment
8,True,招商花园城,华子石西,5,6,22.2555360202,113.52571499700001,22.2879998602,113.56904162379999,7:47,招商花园城-华子石西
8,True,华子石西,唐家,6,7,22.2879998602,113.56904162379999,22.3546284767,113.5972925083,8:07,华子石西-唐家
8,True,唐家,南方软件园,7,8,22.3546284767,113.5972925083,22.372630798200003,113.5759242192,8:30,唐家-南方软件园
9,False,南方软件园,邮政大厦,1,2,22.372630798200003,113.5759242192,22.2816041321,113.5748934765,18:00,南方软件园-邮政大厦
9,False,邮政大厦,湾仔沙,2,3,22.2816041321,113.5748934765,22.2719207234,113.5782557033,18:00,邮政大厦-湾仔沙
9,False,湾仔沙,南油大酒店,3,4,22.2719207234,113.5782557033,22.2387816327,113.5725081805,18:00,湾仔沙-南油大酒店
9,False,南油大酒店,日华花园,4,5,22.2387816327,113.5725081805,22.224461601799998,113.56236610709999,18:00,南油大酒店-日华花园
9,False,日华花园,第二人民医院,5,6,22.224461601799998,113.56236610709999,22.2222270045,113.5474677807,18:00,日华花园-第二人民医院
9,False,第二人民医院,粤华西,6,7,22.2222270045,113.5474677807,22.2204486183,113.5421583558,18:00,第二人民医院-粤华西
9,False,粤华西,华发国际,7,8,22.2204486183,113.5421583558,22.21039699,113.54510515,18:00,粤华西-华发国际
9,True,日华花园,南油大酒店,1,2,22.226236848000003,113.5636551674,22.239193759000003,113.5727817658,7:26,日华花园-南油大酒店
9,True,南油大酒店,湾仔沙,2,3,22.239193759000003,113.5727817658,22.2730351838,113.57880555610001,7:38,南油大酒店-湾仔沙
9,True,湾仔沙,邮政大厦,3,4,22.2730351838,113.57880555610001,22.282611793,113.57440531450001,7:44,湾仔沙-邮政大厦
9,True,邮政大厦,燃气集团,4,5,22.282611793,113.57440531450001,22.2886812632,113.5724742162,7:48,邮政大厦-燃气集团
9,True,燃气集团,唐家市场,5,6,22.2886812632,113.5724742162,22.359702164,113.5999811917,8:08,燃气集团-唐家市场
9,True,唐家市场,南方软件园,6,7,22.359702164,113.5999811917,22.372630798200003,113.5759242192,8:30,唐家市场-南方软件园
10,False,南方软件园,唐家市场,1,2,22.372630798200003,113.5759242192,22.358299553600002,113.59916891030001,18:00,南方软件园-唐家市场
10,False,唐家市场,唐家,2,3,22.358299553600002,113.59916891030001,22.3548939043,113.59732737700001,18:00,唐家市场-唐家
10,False,唐家,白埔路口,3,4,22.3548939043,113.59732737700001,22.3510618703,113.5947719859,18:00,唐家-白埔路口
10,False,白埔路口,华子石西,4,5,22.3510618703,113.5947719859,22.2883508602,113.56926262379999,18:00,白埔路口-华子石西
10,False,华子石西,梅华东,5,6,22.2883508602,113.56926262379999,22.2877679554,113.5681907284,18:00,华子石西-梅华东
10,False,梅华东,梅华中,6,7,22.2877679554,113.5681907284,22.2782699085,113.5339446354,18:00,梅华东-梅华中
10,False,梅华中,一中高中部,7,8,22.2782699085,113.5339446354,22.276785915900003,113.5267147886,18:00,梅华中-一中高中部
10,False,一中高中部,恒雅名园,8,9,22.276785915900003,113.5267147886,22.2745564839,113.5141550224,18:00,一中高中部-恒雅名园
10,True,恒雅名园,一中高中部,1,2,22.274302451700002,113.5137547417,22.2766518869,113.5270178782,7:40,恒雅名园-一中高中部
10,True,一中高中部,梅华中,2,3,22.2766518869,113.5270178782,22.2780294013,113.5336456167,7:41,一中高中部-梅华中
10,True,梅华中,梅华东,3,4,22.2780294013,113.5336456167,22.2818354492,113.548989101,7:52,梅华中-梅华东
10,True,梅华东,华子石东,4,5,22.2818354492,113.548989101,22.291197792600002,113.5726485598,7:55,梅华东-华子石东
10,True,华子石东,白埔路口,5,6,22.291197792600002,113.5726485598,22.3511276975,113.59496219540002,8:06,华子石东-白埔路口
10,True,白埔路口,南方软件园,6,7,22.3511276975,113.59496219540002,22.372630798200003,113.5759242192,8:30,白埔路口-南方软件园
11,False,南方软件园,美丽湾,1,2,22.372630798200003,113.5759242192,22.308101289299998,113.5836091871,18:00,南方软件园-美丽湾
11,False,美丽湾,名亭公园,2,3,22.308101289299998,113.5836091871,22.2747850425,113.58123295530001,18:00,美丽湾-名亭公园
11,False,名亭公园,海滨公园,3,4,22.2747850425,113.58123295530001,22.2618542295,113.58158138360001,18:00,名亭公园-海滨公园
11,False,海滨公园,吉大,4,5,22.2618542295,113.58158138360001,22.251486643099998,113.5762006234,18:00,海滨公园-吉大
11,False,吉大,交行大厦,5,6,22.251486643099998,113.5762006234,22.247522087600004,113.5791886042,18:00,吉大-交行大厦
11,False,交行大厦,珠海电台,6,7,22.247522087600004,113.5791886042,22.24756,113.588925,18:00,交行大厦-珠海电台
11,False,珠海电台,洲仔,7,8,22.24756,113.588925,22.24359,113.59208500000001,18:00,珠海电台-洲仔
11,True,洲仔,珠海电台,1,2,22.24327863,113.5924291933,22.2490406121,113.58709587959999,7:37,洲仔-珠海电台
